GO	description	category	ERR977403	ERR977404	ERR977405	ERR977406	ERR977407	ERR977408	ERR977409	ERR977410	ERR977411	ERR977412	ERR977413	ERR977414	ERR977415	ERR977416	ERR977417	ERR977418	ERR977419	ERR977420	ERR977421	ERR977422	ERR977423	ERR977424	ERR977425
GO:0000001	mitochondrion inheritance	biological process	0	0	0	0	0	0	0	2	0	1	0	0	0	3	1	1	0	2	2	0	0	1	4
GO:0000002	mitochondrial genome maintenance	biological process	0	0	0	0	1	2	2	4	3	2	1	0	2	0	2	2	3	0	3	2	6	1	19
GO:0000012	single strand break repair	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1
GO:0000015	phosphopyruvate hydratase complex	cellular component	799	703	1439	837	131	141	752	292	205	187	200	327	294	342	706	663	637	978	1008	987	57	80	165
GO:0000030	mannosyltransferase activity	molecular function	419	365	557	309	56	69	315	150	61	82	61	237	229	214	577	561	540	513	478	489	29	45	108
GO:0000041	transition metal ion transport	biological process	137	205	432	310	73	126	592	142	265	236	219	452	423	422	173	149	135	250	249	236	406	987	881
GO:0000042	protein targeting to Golgi	biological process	0	0	0	0	0	0	0	1	0	0	1	1	1	0	4	3	4	31	29	34	1	7	13
GO:0000045	autophagosome assembly	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	6	5	5	1	1	5
GO:0000049	tRNA binding	molecular function	4519	4248	7589	4218	774	871	4057	1713	3157	3145	3047	3863	3973	3835	9096	8853	8504	14227	14348	13982	4861	8311	15747
GO:0000062	fatty-acyl-CoA binding	molecular function	1	0	0	0	48	48	271	84	124	123	102	289	284	302	59	75	65	552	572	543	309	655	771
GO:0000077	DNA damage checkpoint	biological process	0	0	0	0	2	0	0	0	1	0	4	0	1	0	1	6	2	12	6	4	0	3	3
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological process	0	0	0	0	0	0	2	3	1	0	0	0	1	0	4	4	7	10	3	8	1	3	21
GO:0000087	mitotic M phase	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0000103	sulfate assimilation	biological process	87	68	112	69	6	9	41	9	0	1	1	1	0	1	4	8	3	7	7	2	0	0	0
GO:0000104	succinate dehydrogenase activity	molecular function	264	406	724	475	69	54	289	76	136	143	137	169	165	155	386	363	372	1289	1211	1198	80	59	269
GO:0000105	histidine biosynthetic process	biological process	9764	8727	15847	8556	1523	1814	8664	2252	5239	5131	5247	8677	8422	8510	20258	20165	19571	32408	32664	31983	8618	15115	22088
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
GO:0000123	histone acetyltransferase complex	cellular component	0	0	0	0	2	0	1	2	3	4	5	12	6	5	13	14	23	14	10	10	6	4	16
GO:0000124	SAGA complex	cellular component	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000139	Golgi membrane	cellular component	0	0	0	0	0	1	0	8	3	2	0	1	1	1	4	3	5	47	51	46	5	13	43
GO:0000145	exocyst	cellular component	0	0	0	0	0	0	1	7	0	0	0	1	0	0	1	3	5	6	1	2	0	1	0
GO:0000148	1,3-beta-D-glucan synthase complex	cellular component	0	0	0	0	0	0	0	0	0	1	0	2	2	1	2	7	7	24	12	23	0	2	11
GO:0000150	recombinase activity	molecular function	276	420	718	374	599	666	3040	2110	2166	2076	1920	4251	4043	3979	5371	5334	5237	7960	7754	7455	2214	4453	9391
GO:0000151	ubiquitin ligase complex	cellular component	0	0	0	0	1	0	3	2	0	0	0	4	1	1	4	4	1	23	25	33	2	5	17
GO:0000154	rRNA modification	biological process	385	345	640	319	46	81	345	136	114	124	105	151	161	162	398	427	407	562	464	430	61	92	217
GO:0000155	phosphorelay sensor kinase activity	molecular function	19692	16831	31472	17430	3479	3558	17233	5584	14373	13991	13633	16774	16269	15972	37353	36952	36128	66808	66503	64512	14962	25874	37020
GO:0000156	phosphorelay response regulator activity	molecular function	1782	1682	3192	1678	204	186	767	295	869	916	865	880	921	865	5235	5242	5128	10143	10034	9869	1391	2074	3944
GO:0000159	protein phosphatase type 2A complex	cellular component	0	0	0	0	1	0	2	3	1	5	3	3	0	2	6	4	10	12	24	15	8	14	50
GO:0000160	phosphorelay signal transduction system	biological process	58514	49501	91541	50350	8774	9312	44778	14332	33878	33648	32580	44092	42914	42021	118475	116872	114742	192160	188509	184579	33091	58500	84041
GO:0000162	tryptophan biosynthetic process	biological process	45	48	99	64	5	3	29	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000166	nucleotide binding	molecular function	74220	66327	119634	63872	11896	13423	62549	25007	47047	45117	44431	66480	65054	63551	137053	136748	133421	204529	203236	199417	58910	107510	185737
GO:0000172	ribonuclease MRP complex	cellular component	0	0	0	0	0	1	2	3	1	2	2	2	4	3	47	42	47	26	21	23	1	5	29
GO:0000175	3'-5'-exoribonuclease activity	molecular function	816	760	1389	883	129	137	626	249	385	418	403	578	569	545	1426	1348	1340	2248	2239	2178	572	930	1728
GO:0000176	nuclear exosome (RNase complex)	cellular component	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1
GO:0000178	exosome (RNase complex)	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	3	3	0	0	2
