"Run"	"S.obs"	"N.obs"	"Shannon.index"	"Fisher.alpha"	"S.chao1"	"se.chao1"	"S.ACE"	"se.ACE"	"S.break"	"se.break"	"S.vln"	"S.pln"	"N.75"	"N.90"	"N.95"	"N.99"
"ERR977403"	96	4181	2.64633375665366	17.5212050227379	138.5	19.3575391657133	149.143242114046	6.59162571224305	394.182795606141	1029.15265841077	227.689049045334	320.961933332367	371745	3500084	13320684	161969028
"ERR977404"	86	3852	2.59007702843336	15.5989733465154	140.375	28.0205556305866	127.394527318907	6.00559402882021	98.1399818830003	75.7357612011525	168.795823706507	261.02015764516	240377	2225899	8387038	100075112
"ERR977405"	106	7014	2.506808267737	17.7144881999922	241.142857142857	63.7853779386042	201.408183833904	8.36782600682724	248.804190899926	89.4129007463403	350.335207394947	355.393317040496	746857	7658995	30685762	411046774
"ERR977406"	70	3693	2.21876118451441	12.2559927204115	100	17.8878863925238	89.9585927117577	4.53390565316796	101.341414242481	22.3680962942509	116.736582354937	179.258683399452	105938	881058	3111863	32869266
"ERR977407"	343	560	5.36187058401256	376.2490257223	1180.22222222222	162.172435159112	1575.50864667558	19.400927905613	2020.5133744556	654.875109385476	385.598969977051	7820.11240260007	194069	777735	1766830	8102609
"ERR977408"	287	422	5.29748539561083	394.678781581635	951.125	138.149527936969	1243.0702027027	19.0750253586936	1868.7131492298	155.555148797817	301.866148795824	5441.71971527194	77892	277553	587024	2350083
"ERR977409"	947	2074	6.04817045912502	673.633360171957	2393.28187919463	167.764525526363	2619.37689520425	31.0983173622853	19566.3414435444	129487.018405354	1137.79510627406	11022.4434166183	323172	1340099	3108189	14826175
"ERR977410"	633	1022	6.0128971083699	709.487599819653	2082.33734939759	208.806121834806	2323.39757643342	26.1208706865772	1551.95965614286	2658.22023842234	687.004219287741	10461.1824951873	190675	719134	1574501	6731798
"ERR977411"	1455	3016	6.72203912842981	1105.92984379474	3754.11415525114	217.729127485203	4120.80595968003	40.8646537278138	3994.86030029707	432.652491124261	1737.68107906156	16168.0618798952	450680	1884587	4393392	21160197
"ERR977412"	1458	3111	6.70110171151484	1069.52462334822	3083.90681003584	148.911220329811	3636.39627479258	40.2550256840229	6480.23091490367	1557.08113579724	1701.02990661918	11022.5429965559	192184	721596	1575598	6701763
"ERR977413"	1389	2971	6.64628691764294	1015.93510372547	3161.35714285714	169.123532577646	3476.43204165993	38.1630356031319	10837.2755997003	15838.0688593644	1630.21395498153	11276.1505057693	219442	845617	1875806	8221834
"ERR977414"	1947	5264	6.55385798555593	1117.46680455484	4299.96636085627	192.5921426231	4772.19394520461	46.2617064614054	21219.035351803	38852.1290806089	2466.53301443991	16871.7142882238	594885	2572113	6118996	30626667
"ERR977415"	1947	5310	6.5598814501908	1108.79945833428	4136.28571428571	178.249073858182	4672.40670444678	45.4779989202447	15354.6730063099	21287.2099549097	2460.71375076382	15923.3890616209	527758	2252514	5316725	26217540
"ERR977416"	1896	5266	6.5187845474601	1062.53566792466	4138.54746835443	187.11240430721	4608.2727906708	45.7928885719628	12654.5542173055	10878.2986273327	2410.37175982237	15335.1524336775	528397	2277189	5406652	26959769
"ERR977417"	1922	10703	5.96580323254267	683.149716668625	3619.27814569536	150.302940279754	3736.3469098378	38.3680645229933	7560.9290125872	12213.0266878836	3035.48302467084	11888.2588846671	1250444	6782347	18509616	120145944
"ERR977418"	1979	10738	5.96517575780576	712.707304979664	3735.1473354232	151.834271621441	3949.35666905352	40.3188136137058	5493.69486241242	2327.69184803645	3153.87341322051	12947.4671481768	1391935	7537204	20548952	133129145
"ERR977419"	1988	10704	6.02231699235403	718.775301406839	3803.60317460317	156.785690447901	4007.18356594921	40.2180077551676	22879.2219226052	129675.482704571	3208.01695532184	13278.6000059409	1502791	8259765	22722876	149744917
"ERR977420"	4177	37194	6.39131559315495	1207.33947302751	7534.20801232666	205.66703332822	7814.66627810074	54.171244482649	25596.5684635315	187614.971550862	8510.64722956758	25939.7913217378	6515863	41072704	122743125	945842209
"ERR977421"	4210	37779	6.36265712630655	1213.22979492503	7337.63265306122	190.420317032809	7707.7241575651	53.6910830565353	20917.6085218688	32500.3679101185	8284.85291398041	25429.9760743114	6015220	37385526	110776432	840001810
"ERR977422"	4138	36480	6.36845753072243	1200.73860278929	7088.26061493411	181.721739555105	7447.44759159623	52.6965565653707	19966.9439014586	39318.6651474641	7755.55117323436	23973.0185906943	5113980	31308538	91929141	685200740
"ERR977423"	2453	6550	6.86595773134856	1423.83557202362	5627.23333333333	233.591542324821	6132.58319746634	52.9938713493737	23542.7593431857	26696.0549480834	3147.92021446021	22483.527098377	851666	3748954	9016170	46067293
"ERR977424"	3212	11516	6.47267762335985	1477.32185311656	7352.18825910931	269.58848731585	7729.51952878253	57.6816713593917	6791.8732284263	535.65303131046	4547.84537481706	31249.3143438935	2088926	9964983	25162257	140996658
"ERR977425"	5824	28544	7.18954564090923	2212.93907481228	11197.847826087	271.053279824094	11319.3390420956	65.8082550096169	20886.4015970181	15117.4947385352	8827.84655808078	36865.8069259474	3026390	15556339	41097185	250858761
