IPR	description	ERR977403	ERR977404	ERR977405	ERR977406	ERR977407	ERR977408	ERR977409	ERR977410	ERR977411	ERR977412	ERR977413	ERR977414	ERR977415	ERR977416	ERR977417	ERR977418	ERR977419	ERR977420	ERR977421	ERR977422	ERR977423	ERR977424	ERR977425
IPR000001	Kringle	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	2
IPR000003	Retinoid X receptor/HNF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
IPR000007	Tubby, C-terminal	0	0	0	0	0	0	1	3	1	0	1	0	0	1	2	3	4	40	29	30	4	13	48
IPR000008	C2 domain	0	0	0	0	5	3	22	34	33	30	12	12	13	15	88	74	66	196	160	181	30	129	285
IPR000009	Protein phosphatase 2A regulatory subunit PR55	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	2	2	2	4	2	1	0
IPR000010	Cystatin domain	0	0	0	0	0	0	3	3	3	3	1	2	0	1	1	1	1	5	2	4	1	1	1
IPR000011	Ubiquitin/SUMO-activating enzyme E1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IPR000013	Peptidase M7, snapalysin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IPR000014	PAS domain	19754	17128	31339	17861	2055	2222	10349	3316	4231	4201	4027	5905	5599	5617	27136	26455	25556	38615	37448	36003	3225	5052	7781
IPR000015	Outer membrane usher protein	5	5	1	0	7	7	36	21	10	15	13	30	17	20	137	104	121	2825	2618	2689	9	21	790
IPR000020	Anaphylatoxin/fibulin	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR000021	Hok/gef cell toxic protein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	11	8	0	2	17
IPR000022	Carboxyl transferase	3920	3768	6401	3189	1634	1920	9347	2314	5267	5117	5181	7899	7932	7673	7976	7968	7649	15609	15415	15088	8828	16685	20666
IPR000023	Phosphofructokinase domain	992	910	1616	918	468	513	2367	793	1299	1351	1261	2330	2217	2231	2388	2339	2201	3037	2887	2754	1461	3304	3700
IPR000026	Guanine-specific ribonuclease N1/T1/U2	132	210	291	233	49	63	226	51	75	81	89	163	174	130	557	576	558	620	567	628	195	288	391
IPR000028	Chloroperoxidase	0	0	0	0	1	1	0	0	4	1	2	0	0	0	0	1	0	0	2	2	1	0	1
IPR000030	PPE family	0	0	0	0	2	4	32	2	1	0	1	5	7	1	0	0	0	1	2	1	8	41	56
IPR000031	PurE domain	1991	1561	3103	1627	286	327	1490	437	943	985	923	1139	1177	1149	3447	3411	3237	4541	4624	4462	1657	2640	4526
IPR000032	Phosphocarrier protein HPr-like	197	286	459	326	104	83	460	137	387	349	362	728	731	707	873	860	859	2546	2446	2398	656	1165	1953
IPR000033	LDLR class B repeat	0	0	0	0	12	10	30	13	15	15	17	61	49	60	47	46	56	30	16	20	10	42	36
IPR000034	Laminin IV	0	0	0	0	1	2	4	3	11	13	13	8	13	6	5	5	0	3	0	5	0	1	1
IPR000035	Alkylbase DNA glycosidase, conserved site	0	0	0	0	6	4	32	6	18	29	20	15	17	8	10	17	13	28	32	21	10	15	39
IPR000036	Peptidase A26, omptin	0	0	0	0	1	0	4	2	2	1	2	2	6	7	1	0	1	76	49	65	4	4	25
IPR000037	SsrA-binding protein	765	696	1289	702	116	108	672	272	400	464	446	677	630	604	1505	1501	1421	2165	2016	2031	768	1420	2639
IPR000040	Acute myeloid leukemia 1 protein (AML1)/Runt	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000043	Adenosylhomocysteinase	1957	1811	3243	1946	385	487	2266	680	1631	1712	1692	2215	2179	2171	4523	4532	4371	8033	8080	7856	2391	3520	6616
IPR000045	Prepilin type IV endopeptidase, peptidase domain	1196	962	1718	862	112	116	599	246	385	368	346	577	596	561	1655	1661	1661	2504	2469	2425	321	557	1008
IPR000047	Helix-turn-helix motif	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	4
IPR000048	IQ motif, EF-hand binding site	0	0	0	0	1	0	2	4	3	2	2	1	4	1	20	12	27	122	112	108	10	33	184
IPR000049	Electron transfer flavoprotein, beta-subunit, conserved site	91	119	186	130	36	46	234	54	114	115	117	160	167	137	119	118	134	498	474	481	92	187	265
IPR000052	Potex/carlavirus coat protein	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
